layer_name,milestone,start_year,end_year,type,reopening
Foreground,,0,9999,z,
outline,,0,9999,z,
Polygons,,0,9999,z,
MPO,,0,9999,z,
ponds,,0,9999,z,
streams,,0,9999,z,
Shore,,0,9999,z,
towns,,0,9999,z,
MPO-Boundary,,0,9999,z,
Town-Names,,0,9999,z,
Salem-Turnpike-1803-1868,Salem Turnpike,1803,1868,h,
Newburyport-Turnpike-North,Newburyport Turnpike (Route 99),1805,1849,h,
Newburyport-Turnpike-South,Newburyport Turnpike (Route 1 North),1805,1852,h,
Norfolk-Bristol-TP-1806-1857,Norfolk-Bristol Turnpike (Route 1 south of Boston),1806,1843,h,
Cambridge-Turnpike-1807,Cambridge-Concord Turnpike,1807,1829,h,
Hartford-Turnpike-1804-1838,Hartford-Dedham Turnpike,1808,1830,h,
Worcester-Turnpike-1808-1845,Worcester Turnpike,1808,1833,h,
Union-Turnpike-1809,Union Turnpike,1809,1830,h,
Middlesex-Turnpike-1811-1841,Middlesex Turnpike,1811,1841,h,
NULL,First trial operation of steamboat service in Boston Harbor,1817,9999,w,
NULL,"Boston, Massachusetts, is incorporated as a city.",1822,9999,l,
NULL,First short-distance local coach service in Boston began operating,1825,9999,t,
NULL,Taunton-Providence Turnpike,1826,1849,h,
NULL,First separately incorporated U.S. railroad  (Quincy Granite Railway),1826,1871,r,
Route-2-East-1829,Route 2 (Alewife Brook Parkway-Route 128),1935,9999,h,
Route-2-West-1830,Route 2 (Harvard-Westminster),1953,9999,h,
Framingham-CR-1834,"Boston & Worcester Railroad (Worcester CR Line), Boston-Westborough",1834,9999,r,
Providence-CR-1834,"Boston & Providence Railroad (Providence CR), Boston-Canton Junction",1834,9999,r,
Providence-Ext,"Boston & Providence Railroad (Providence CR), extended to  Providence",1835,9999,r,
Worcester-Ext,"Boston & Worcester Railroad (Worcester CR Line), extended to Worcester",1835,9999,r,
Lowell-CR-1835,"Boston & Lowell Railroad (Lowell CR Line), Lowell-Boston",1835,9999,r,
Mansfield,Taunton Branch Railroad,1836,1955,r,
Haverhill-CR-1837,"Andover & Wilmington Railroad (Boston & Maine Haverhill CR Line), Wilmington-Andover",1836,9999,r,
Route-109-1838,Hartford-Dedham Turnpike designated Route 109,1925,9999,h,
Newburyport-CR-1838,"Eastern Railroad (Newburyport CR Line), East Boston-Salem",1838,9999,r,
Lowell-Nashua_RR-1844-1966,Nashua & Lowell Railroad,1838,1967,r,
Newburyport-CR-1839,"Eastern Railroad (Newburyport CR Line), Salem-Ipswich",1839,9999,r,
NULL,Eastern Railroad Marblehead Branch (Salem-Marblehead) ,1839,9999,r,
Newburyport-CR-1839-1976,"Eastern Railroad (Newburyport CR Line), Ipswich-Newburyport",1840,1976,r,
Fitchburg-CR-1843,"Fitchburg Railroad (Fitchburg CR), Charlestown-Waltham",1843,9999,r,
Woburn_Branch_RR-1844-1961,"Boston & Lowell Railroad, Woburn Branch (Winchester-Woburn)",1844,1981,r,
Fitchburg-CR-1844,"Fitchburg Railroad (Fitchburg CR), Waltham-Shirley",1844,9999,r,
Route-9-1845,Worcester Turnpike (Route 9),1933,9999,h,
Shirley,"Fitchburg Railroad (Fitchburg CR), Shirley-Fitchburg",1845,9999,r,
Fitchburg-CR-1845,"Boston & Maine (Haverhill CR Line), Wilmington-Boston",1845,9999,r,
Old_Colony_RR-1845-1959,Old Colony Railroad (Boston-Plymouth),1845,1959,r,
Old_Colony-Middle,Old Colony Railroad (Braintree-West Bridgewater),1845,1959,r,
NULL,"Boston & Worcester Railroad, Saxonville Branch (Natick-Saxonville)",1846,9999,r,
NULL,Fall River Railroad (North Easton-Fall River),1866,9999,r,
Old_Colony_Fall_River_RR-1847-1863,Fall River Railroad (Stoughton-Easton),1866,1958,r,
Lexington_Branch_RR-1846-1981,Lexington & West Cambridge Railroad (West Cambridge-Lexington),1846,1977,r,
Rockport-CR-1847,"Eastern Railroad, Gloucester Branch (Rockport CR), Beverly Junction-Gloucester",1847,9999,r,
Milford_Branch_RR-1847-1980,"Boston & Worcester Railroad, Milford Branch",1848,1959,r,
Essex_RR-1847-1985,Essex Railroad (Salem-Peabody),1850,1981,r,
NULL,Old Colony Railroad (Whitman-Bridgewater),1847,9999,r,
