year,text
1800,"The U.S. capital is moved from Philadelphia to Washington, DC."
1800,Alessandro Volta invinted the electric battery.
1801,United Kingdom is formed.
1801,"Richard Trevithick ran a full-sized steam 'road locomotive' on the road in Camborne, England."
1802,"Andrew Vivian and Richard Trevithick of Cornwall, England, are granted the first British patent for a steam engine for propelling carriages and other purposes."
1803,"William Symington's Charlotte Dundas, generally considered to be the world's first practical steamboat, makes her first voyage."
1803,Richard Trevithick built his 10-seater London Steam Carriage.
1803,Ohio becomes 17th state of the Union.
1804,"Lewis and Clark set out from St. Louis, Mo., on expedition to explore the West and find a route to the Pacific Ocean."
1804,Richard Trevithick built a prototype steam-powered railway locomotive and it ran on the Pen-y-Darren Line near Merthyr Tydfil Wales.
1805,"Official opening of Thomas Telford's Pontcysyllte Aqueduct, carrying the Llangollen canal 126 feet above the River Dee."
1806,"The original Lower Trenton Toll Bridge, which spans the Delaware River between Morrisville, Pennsylvania and Trenton, New Jersey, is opened."
1806,"Construction is authorized of the Great National Pike, better known as the Cumberland Road, becoming the first United States federal highway."
1807,Francois Isaac de Rivaz invents the first internal combustion engine using hydrogen as a fuel.
1807,The Swansea and Mumbles Railway in Wales ran the world's first passenger horsecar tram service.
1807,"Robert Fulton's North River Steamboat, the world's first commercially successful steamboat, makes her maiden voyage."
1807,Isaac de Rivas made a hydrogen gas powered internal combustion engine and mounted it on a vehicle.
1808,"Anthracite coal is first burned, in an experiment, as fuel."
1809,1st US steamboat to a make an ocean voyage leaves NY for Philadelphia.
1809,Robert Fulton patents steamboat.
1809,"Allardyce Barclay begins a bet of walking 1 mile every hour for 1,000 hours. Each hour he walked a mile round trip from his home."
1810,John Jacob Astor embark on a six month journey around South America from New York to Oregon.
1811,"The first steam-powered ferry service between New York City and Hoboken, New Jersey."
1812,First commercially successful self-propelled engine on land was Mathew Murray's Salamanca on Middleton Railway using toothed wheels and rail.
1812,"Timothy Hackworth's ""Puffing Billy"" ran on smooth Cast Iron Rails at Wylam Colliery near Newcastle."
1812,Louisiana becomes 18th state of the Union
1813,"1st US raw cotton-to-cloth mill founded in Waltham, Massachusetts."
1814,"George Stephenson built the first practical steam-powered railway locomotive ""Blutcher"" at Killingworth Colliery."
1814,"""Star Spangled Banner"" published as a song, lyrics by Francis Scott Key, tune by John Stafford Smith."
1815,The first American railroad charter is granted by the state of New Jersey to John Stephens.
1816,Indiana becomes 19th state of the Union.
1817,"Construction is authorized of the Great National Pike, better known as the Cumberland Road, becoming the first United States federal highway."
1817,"The construction of the Erie Canal begins at Rome, New York."
1817,Mississippi becomes 20th state of the Union.
1818,Illinois becomes 21th state of the Union.
1818,49th parallel forms as border between US & Canada.
1819,"The American steamship Savannah, under part steam and sail-power, crosses the Atlantic Ocean from Savannah, Georgia to Liverpool, England."
1819,Alabama becomes 22th state of the Union.
1819,Denis Johnson invents kick scooter.
1819,1st bicycles (swift walkers) in US introduced in NYC.
